"datetime","wind_speed","v_var","u*","wind_dir","L"
2020-05-02 20:00:00,1.30797,0.109811,0.0717,135.604,4.0675
2020-05-02 20:30:00,1.36103,0.107669,0.108597,146.532,12.3818
2020-05-02 21:00:00,1.70488,0.0659,0.106953,157.981,11.2156
2020-05-02 21:30:00,1.73868,0.0488,0.0818,161.942,6.26992
2020-05-02 22:00:00,1.40702,0.0744,0.079,158.415,7.94984
2020-05-02 22:30:00,1.51832,0.169057,0.116722,174.33,16.6377
2020-05-02 23:00:00,1.18796,0.0548,0.0552,170.117,4.92759
2020-05-02 23:30:00,1.33406,0.0669,0.0734,175.098,4.65434
2020-05-03,1.22602,0.0801,0.0875,186.971,9.26683
2020-05-03 00:30:00,1.12986,0.0661,0.0873,201.806,8.65824
2020-05-03 01:00:00,1.32393,0.146055,0.100659,225.091,10.7066
2020-05-03 01:30:00,1.57875,0.231297,0.164211,250.547,40.5176
2020-05-03 02:00:00,1.86137,0.213976,0.176001,258.169,42.8413
2020-05-03 02:30:00,1.91962,0.185483,0.166519,259.969,33.2411
2020-05-03 03:00:00,2.02988,0.138146,0.152637,258.147,22.5337
2020-05-03 03:30:00,1.83648,0.116236,0.141476,258.117,19.6357
2020-05-03 04:00:00,2.09775,0.121547,0.155121,262.682,23.0008
2020-05-03 04:30:00,1.68397,0.139614,0.139276,268.323,18.871
2020-05-03 05:00:00,1.38046,0.361669,0.162358,287.32,22.589
2020-05-03 05:30:00,1.19653,0.255042,0.156047,317.089,39.1529
2020-05-03 06:00:00,1.40044,0.248598,0.153993,313.932,31.5143
2020-05-03 06:30:00,1.29607,619.069,6.55928,285.749,435.808
2020-05-03 07:00:00,1.47462,0.398249,0.153381,307.186,102.533
2020-05-03 07:30:00,1.20096,0.395334,0.196457,293.273,53.842
2020-05-03 08:00:00,1.31616,0.640576,0.152844,304.357,49.8966
2020-05-03 08:30:00,1.17418,0.414076,0.181934,316.332,38.4663
2020-05-03 09:00:00,1.00156,0.369513,0.16583,299.867,55.3197
2020-05-03 09:30:00,0.787175,0.568037,0.217905,303.543,72.0196
2020-05-03 10:00:00,1.08417,0.762202,0.258419,280.913,78.5224
2020-05-03 10:30:00,1.73038,1.09744,0.203716,269.269,39.0085
2020-05-03 11:00:00,2.05096,1.11543,0.177428,253.392,18.5636
2020-05-03 11:30:00,1.88426,1.0687,0.206864,263.83,37.0707
2020-05-03 12:00:00,2.14856,1.06028,0.232497,259.653,32.645
2020-05-03 12:30:00,2.65891,2.38242,0.303246,255.125,-13.3828
2020-05-03 13:00:00,2.04037,0.898789,0.170141,253.127,16.3725
2020-05-03 13:30:00,1.96965,1.55449,0.25669,236.533,33.1566
2020-05-03 14:00:00,1.8559,0.56967,0.154395,209.958,8.87252
2020-05-03 14:30:00,2.36299,0.898304,0.206123,238.647,18.8812
2020-05-03 15:00:00,3.13129,1.46311,0.251657,251.414,33.0502
2020-05-03 15:30:00,3.06337,1.00118,0.309171,255.596,47.7879
2020-05-03 16:00:00,2.92914,1.36815,0.270758,263.222,33.6446
2020-05-03 16:30:00,2.8115,1.32241,0.276977,271.404,43.4181
2020-05-03 17:00:00,2.77015,0.970028,0.288976,272.098,45.5661
2020-05-03 17:30:00,2.12468,0.71505,0.222389,277.639,32.6209
2020-05-03 18:00:00,1.32181,0.277615,0.170345,281.235,15.8753
2020-05-03 18:30:00,1.33781,0.265469,0.156808,274.972,14.3184
2020-05-03 19:00:00,1.69361,0.354295,0.163533,275.396,11.762
2020-05-03 19:30:00,1.37493,0.26591,0.171947,281.449,19.6099
2020-05-03 20:00:00,2.34127,0.562542,0.248997,276.059,33.1449
2020-05-03 20:30:00,1.69021,0.296578,0.202661,282.372,23.0591
2020-05-03 21:00:00,1.54162,0.209143,0.17693,297.917,21.9572
2020-05-03 21:30:00,1.68559,0.234836,0.184152,293.799,21.0779
2020-05-03 22:00:00,1.39292,0.191007,0.137254,283.594,10.7008
2020-05-03 22:30:00,1.54409,0.188305,0.200954,276.047,25.885
2020-05-03 23:00:00,2.07945,0.290775,0.226817,283.927,32.8568
2020-05-03 23:30:00,2.18212,0.382878,0.249507,284.256,38.0926
2020-05-04,1.99017,0.362869,0.216038,276.056,36.0618
2020-05-04 01:30:00,1.65286,0.317479,0.203615,281.153,27.494
2020-05-04 02:00:00,1.79809,0.303527,0.241812,283.864,48.1553
2020-05-04 02:30:00,1.96593,0.299861,0.201918,274.948,34.8359
2020-05-04 03:00:00,1.75686,0.30674,0.250836,283.242,47.5096
2020-05-04 03:30:00,1.30502,0.11089,0.149022,271.538,13.105
2020-05-04 04:00:00,1.69756,0.246158,0.186693,281.326,23.6578
2020-05-04 04:30:00,1.59593,0.239663,0.185017,275.448,38.1766
2020-05-04 05:00:00,1.94891,0.144523,0.153661,261.758,19.1851
2020-05-04 05:30:00,2.32356,0.207159,0.195838,262.849,38.1486
2020-05-04 06:00:00,2.48808,0.660556,0.214166,270.901,61.5234
2020-05-04 06:30:00,2.77374,1.07888,0.369829,283.67,1351.44
2020-05-04 07:00:00,2.91762,1.22543,0.364517,293.64,405.437
2020-05-04 07:30:00,3.25611,1.63556,0.319596,288.845,1565.58
2020-05-04 08:00:00,2.63642,1.63459,0.400574,296.401,311.327
2020-05-04 08:30:00,3.2612,1.61694,0.366063,286.507,255.577
2020-05-04 09:00:00,2.67876,1.55244,0.301572,299.834,241.128
2020-05-04 09:30:00,2.59686,1.34685,0.318287,291.051,107.209
2020-05-04 10:00:00,2.12304,1.02702,0.251413,286.885,59.0369
2020-05-04 10:30:00,2.45063,1.36553,0.29523,291.17,117.61
2020-05-04 11:00:00,2.78789,1.46625,0.33498,281.126,120.87
2020-05-04 11:30:00,2.77984,1.69367,0.334666,278.956,72.3892
2020-05-04 12:00:00,2.95023,1.63697,0.305854,257.617,49.1954
2020-05-04 12:30:00,3.32517,3.10598,0.388911,264.69,91.4847
2020-05-04 13:00:00,2.51026,1.49673,0.287591,288.296,52.1445
2020-05-04 13:30:00,1.97468,1.28473,0.247875,289.582,40.8144
2020-05-04 14:00:00,3.05148,1.15496,0.272878,267.664,47.057
2020-05-04 14:30:00,2.69052,1.05056,0.301016,285.728,72.1445
2020-05-04 15:00:00,2.04049,1.08416,0.220674,301.631,31.8448
2020-05-04 15:30:00,1.50838,0.893885,0.196577,301.823,21.7162
2020-05-04 16:00:00,2.09343,0.796742,0.248295,316.692,37.5806
2020-05-04 16:30:00,1.98581,1.49788,0.241822,283.066,36.1615
2020-05-04 17:00:00,1.7188,0.691198,0.134335,334.295,7.11754
2020-05-04 17:30:00,1.12482,0.971951,0.222216,314.934,34.5261
2020-05-04 18:00:00,1.36251,0.382321,0.17442,285.644,25.7154
2020-05-04 18:30:00,0.795884,0.148552,0.192559,283.426,39.2515
2020-05-04 19:00:00,1.50267,0.390664,0.200068,308.319,34.5933
2020-05-04 19:30:00,1.80669,0.371264,0.17939,317.977,18.4985
2020-05-04 20:00:00,1.10594,0.124243,0.146639,318.729,11.3225
2020-05-04 20:30:00,0.22352,0.109917,0.141627,245.353,5.96623
2020-05-04 21:00:00,0.865808,0.0241,0.0169,144.489,-1.29247
2020-05-04 21:30:00,0.620145,0.0345,0.0545,169.694,-8.04661
2020-05-04 22:00:00,0.570625,0.184609,0.139243,269.1,5.06411
2020-05-04 22:30:00,0.959999,0.100335,0.108696,286.911,5.76718
2020-05-04 23:00:00,1.20299,0.218682,0.187877,302.184,17.0188
2020-05-04 23:30:00,1.3121,0.178065,0.152894,304.802,11.8365
2020-05-05,0.663521,0.128259,0.106126,344.672,6.85063
2020-05-05 00:30:00,0.424075,0.0277,0.0491,10.6658,2.61924
2020-05-05 01:00:00,0.279123,0.0126,0.0322,15.1833,0.687592
2020-05-05 01:30:00,0.667988,574.494,13.0812,344.277,-7120000
2020-05-05 02:00:00,0.891809,0.109793,0.144235,314.941,11.497
2020-05-05 02:30:00,0.850191,0.111088,0.140304,306.876,8.8016
2020-05-05 03:00:00,0.96169,0.136095,0.134963,317.362,10.1763
